Time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1585702800000,6301.7,6320.47,6280.0,6287.2,8638.065,1585706399999,54383146.96611,30660,4555.033,28679796.92306,0
1585706400000,6287.05,6316.76,6281.86,6313.33,5506.785,1585709999999,34713698.56712,21184,3146.981,19838854.01359,0
1585710000000,6313.34,6380.0,6305.0,6363.9,10066.332,1585713599999,63869801.73227,35462,5788.507,36734065.18312,0
1585713600000,6364.0,6370.0,6325.0,6336.25,7238.778,1585717199999,45930599.52478,25361,3739.805,23733274.962,0
1585717200000,6336.26,6340.92,6283.57,6298.11,9584.28,1585720799999,60469046.65857,28669,4700.267,29656946.19844,0
1585720800000,6298.11,6317.11,6260.17,6292.87,12493.848,1585724399999,78604018.77484,36251,6832.657,42994127.86943,0
1585724400000,6292.88,6332.32,6278.24,6324.27,8561.686,1585727999999,54033912.47912,31313,4671.656,29487166.77653,0
1585728000000,6324.28,6324.51,6275.0,6301.99,8678.967,1585731599999,54662855.36491,31052,4250.461,26773529.848,0
1585731600000,6302.0,6308.0,6255.4,6294.93,10788.128,1585735199999,67799333.46875,35070,5149.888,32373120.90818,0
1585735200000,6294.88,6312.99,6281.83,6286.28,8011.233,1585738799999,50446480.74812,27659,3983.959,25090242.98349,0
1585738800000,6286.25,6298.0,6266.17,6290.84,8775.469,1585742399999,55138310.32722,30082,4369.987,27459538.0296,0
1585742400000,6290.83,6337.0,6180.0,6214.67,30570.459,1585745999999,190891681.96664,77711,14877.043,92966918.35328,0
1585746000000,6214.9,6233.7,6154.94,6200.0,16995.279,1585749599999,105377042.47488,50210,8175.08,50715155.40673,0
1585749600000,6200.01,6255.0,6191.5,6243.53,14847.806,1585753199999,92492826.47419,40083,8335.559,51927694.84086,0
1585753200000,6243.5,6250.0,6212.01,6225.43,9966.271,1585756799999,62110407.86422,26757,5143.068,32057608.45894,0
1585756800000,6225.44,6225.88,6140.0,6175.99,24401.784,1585760399999,150836659.21866,73363,12082.159,74688357.93109,0
1585760400000,6176.0,6206.88,6160.01,6189.7,12616.83,1585763999999,78064606.46406,47632,6755.273,41799649.69913,0
1585764000000,6189.7,6215.0,6178.23,6181.61,8569.503,1585767599999,53098784.86314,37115,4665.395,28913099.04361,0
1585767600000,6181.51,6207.52,6160.0,6196.45,9996.144,1585771199999,61813510.21192,48887,5555.326,34357901.88917,0
1585771200000,6196.24,6376.73,6188.0,6329.66,33570.485,1585774799999,211123534.45573,95962,19256.118,121078077.96456,0
1585774800000,6329.88,6397.0,6328.49,6347.79,17476.407,1585778399999,111178005.29921,52572,8988.508,57184746.18833,0
1585778400000,6347.77,6599.0,6347.76,6515.54,47137.13,1585781999999,305950772.79975,109493,27170.356,176352473.76715,0
1585782000000,6515.31,6693.0,6491.13,6641.51,36205.125,1585785599999,239266457.39606,85376,19563.373,129285564.23162,0
1585785600000,6641.22,6750.0,6560.21,6613.32,32756.802,1585789199999,218039318.89168,80005,16033.351,106815249.23239,0
1585789200000,6613.31,6636.0,6542.73,6564.02,13279.043,1585792799999,87690297.0773,34357,6590.701,43549704.18338,0
1585792800000,6564.77,6614.54,6560.0,6601.17,9266.293,1585796399999,61076837.12299,27379,5103.858,33644964.47992,0
1585796400000,6600.84,6611.51,6573.15,6602.23,6343.035,1585799999999,41806210.90194,20851,3491.997,23018265.59833,0
1585800000000,6602.35,6632.15,6585.01,6594.46,8857.531,1585803599999,58559719.20819,26688,4427.756,29274749.51427,0
1585803600000,6594.17,6604.68,6558.93,6603.25,7899.712,1585807199999,52008151.59841,23375,4252.258,28001826.49814,0
1585807200000,6603.25,6644.21,6586.0,6635.0,8178.927,1585810799999,54088581.74361,25102,4982.794,32958862.65349,0
1585810800000,6634.42,6675.54,6606.74,6641.51,12379.449,1585814399999,82229755.65459,37217,6807.27,45225708.91981,0
1585814400000,6641.42,6663.01,6600.0,6646.26,12207.713,1585817999999,80942123.50111,32524,6730.441,44633014.48458,0
1585818000000,6646.21,6653.5,6621.0,6635.71,6461.118,1585821599999,42876870.32305,21477,3283.896,21794232.28135,0
1585821600000,6635.75,6711.39,6612.14,6647.0,17140.949,1585825199999,113987267.32316,47988,9144.947,60843763.78178,0
1585825200000,6647.0,6698.0,6602.84,6687.29,15674.265,1585828799999,104376552.39504,47724,8438.754,56225869.64605,0
1585828800000,6686.37,6728.2,6627.0,6654.21,25184.182,1585832399999,168086581.89555,74074,12708.034,84853176.70384,0
1585832400000,6653.36,6672.0,6616.15,6640.58,16640.368,1585835999999,110521634.74694,51272,7886.979,52395759.57043,0
