Time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1601514000000,359.23,361.4,358.56,361.24,40918.071,1601517599999,14729076.19335,19442,23606.778,8498600.50282,0
1601517600000,361.25,364.23,361.2,362.42,79258.379,1601521199999,28762382.06625,27328,47676.506,17302010.16157,0
1601521200000,362.43,363.09,361.76,362.37,29000.086,1601524799999,10507261.01547,15625,13520.68,4899646.66747,0
1601524800000,362.37,363.98,361.86,362.19,42132.563,1601528399999,15286771.89252,17125,21359.689,7752084.54152,0
1601528400000,362.18,362.35,360.06,361.71,39026.031,1601531999999,14105397.88787,16557,18199.255,6579401.62323,0
1601532000000,361.71,363.56,361.7,362.76,42064.713,1601535599999,15253407.77647,17438,24316.246,8818250.815,0
1601535600000,362.75,363.95,362.14,363.87,37952.532,1601539199999,13782574.57851,16248,22657.882,8229698.73492,0
1601539200000,363.83,370.44,362.74,367.22,192807.314,1601542799999,70664971.97208,50625,110052.797,40348286.78757,0
1601542800000,367.22,368.1,366.94,367.68,34845.113,1601546399999,12806264.82456,22049,18204.137,6691710.10972,0
1601546400000,367.68,368.12,366.15,366.63,44164.778,1601549999999,16204521.71874,19903,17709.245,6498426.5442,0
1601550000000,366.63,368.68,366.32,368.47,37018.906,1601553599999,13596073.78061,17485,22618.655,8307963.8488,0
1601553600000,368.47,369.14,366.55,367.69,43621.562,1601557199999,16039930.09295,21475,23731.69,8727489.46501,0
1601557200000,367.68,367.94,365.49,365.9,50860.617,1601560799999,18653716.6134,22777,22716.386,8335231.04337,0
1601560800000,365.87,366.49,364.22,365.79,70851.476,1601564399999,25877501.612,25362,31547.047,11524164.32307,0
1601564400000,365.83,366.59,360.84,361.05,123533.475,1601567999999,44891391.7981,34899,56844.842,20661918.33408,0
1601568000000,361.01,361.05,345.56,349.87,539483.231,1601571599999,190518259.70091,111734,247971.737,87554121.97321,0
1601571600000,349.86,350.86,346.01,346.01,165404.259,1601575199999,57599795.99192,44318,82063.498,28590358.32996,0
1601575200000,346.0,352.68,345.1,351.85,137978.271,1601578799999,48166647.15418,35847,75511.477,26374499.25214,0
1601578800000,351.84,354.17,350.6,352.99,93795.457,1601582399999,33048103.79002,28405,46276.049,16309072.97837,0
1601582400000,352.99,352.99,349.32,351.43,77398.865,1601585999999,27162624.45867,25555,32777.593,11503297.56397,0
1601586000000,351.43,353.15,350.09,350.71,38055.005,1601589599999,13381583.40177,19657,20847.113,7333030.72106,0
1601589600000,350.71,352.95,350.06,351.59,45873.551,1601593199999,16144854.36196,19382,23335.9,8212522.39375,0
1601593200000,351.59,352.99,351.05,352.53,31742.741,1601596799999,11174534.11605,15074,16054.002,5651697.73712,0
1601596800000,352.54,352.55,349.62,350.73,63963.593,1601600399999,22445943.73176,24695,28467.155,9989673.93051,0
1601600400000,350.73,353.77,350.7,351.71,46814.782,1601603999999,16496145.05842,18080,23069.365,8129920.53712,0
1601604000000,351.71,352.88,351.05,351.32,32468.795,1601607599999,11426630.19615,16053,16646.578,5859758.58543,0
1601607600000,351.3,353.1,351.26,353.02,33425.719,1601611199999,11767950.8845,14805,16749.378,5897788.27833,0
1601611200000,353.08,354.34,351.11,351.16,45924.453,1601614799999,16204847.65963,19212,23005.638,8121387.6801,0
1601614800000,351.16,351.19,341.52,342.63,312781.362,1601618399999,107947125.09367,66930,143583.376,49535721.34967,0
1601618400000,342.56,344.67,339.68,343.94,127838.195,1601621999999,43792017.88213,30766,70477.454,24160762.66035,0
1601622000000,343.94,344.4,341.71,342.16,63579.208,1601625599999,21792745.19567,23650,28551.734,9787313.50022,0
1601625600000,342.16,343.4,336.0,338.29,163820.169,1601629199999,55696203.61864,42669,74722.842,25412118.71097,0
1601629200000,338.29,341.51,336.27,338.1,134373.968,1601632799999,45460322.45643,39326,70761.962,23943764.4114,0
1601632800000,338.11,339.65,334.01,337.99,131678.581,1601636399999,44326144.25629,35837,66173.612,22283648.12883,0
1601636400000,337.98,339.7,336.78,336.9,75590.653,1601639999999,25569454.58082,24988,41766.949,14135192.47198,0
1601640000000,336.88,339.5,336.24,339.47,70207.184,1601643599999,23753616.74493,23530,38815.207,13134484.14933,0
1601643600000,339.47,344.0,336.68,341.89,149817.234,1601647199999,51032980.27386,39448,80035.396,27267145.31266,0
1601647200000,341.9,346.36,341.9,344.16,106519.041,1601650799999,36597578.31635,31009,56025.201,19253222.84622,0
1601650800000,344.16,345.27,342.19,342.93,65383.729,1601654399999,22496386.96146,24767,31587.198,10871259.52049,0
1601654400000,342.91,345.34,341.16,344.52,83397.26,1601657999999,28649630.38569,26945,44899.287,15429287.26395,0
1601658000000,344.51,345.05,343.05,344.04,42932.075,1601661599999,14776914.56345,17713,23319.909,8028607.13786,0
1601661600000,344.04,344.65,342.5,344.35,31858.802,1601665199999,10948440.86092,15599,18008.534,6189882.15258,0
1601665200000,344.34,344.57,342.91,343.13,33442.81,1601668799999,11499041.11424,14839,16601.017,5708504.57221,0
1601668800000,343.07,347.8,342.94,346.43,59227.603,1601672399999,20487673.03691,20396,37102.283,12833594.20345,0
1601672400000,346.52,346.85,341.06,341.85,44163.957,1601675999999,15184702.1919,20274,18441.698,6342465.27339,0
1601676000000,341.85,345.43,341.78,344.64,43330.645,1601679599999,14888635.17319,17887,26055.313,8952451.3049,0
1601679600000,344.63,346.24,344.54,345.41,29328.689,1601683199999,10134376.7332,15504,15115.474,5223427.8477,0
1601683200000,345.44,345.88,343.38,343.8,33875.139,1601686799999,11669147.82386,16969,15529.918,5349935.51122,0
1601686800000,343.79,345.56,343.63,345.48,24378.07,1601690399999,8400683.78977,14629,14195.012,4892190.08595,0
1601690400000,345.46,346.39,344.82,345.56,25415.613,1601693999999,8785356.33161,14645,14009.552,4842735.95366,0
1601694000000,345.56,349.0,345.15,347.8,60302.102,1601697599999,20949934.16466,20484,38232.289,13282199.33288,0
1601697600000,347.8,348.36,346.65,347.68,25867.84,1601701199999,8988906.83955,14956,14108.683,4903574.76186,0
1601701200000,347.68,347.89,345.6,346.11,31036.928,1601704799999,10754625.96805,15484,12218.4,4234094.29527,0
1601704800000,346.1,346.72,344.18,345.55,38528.25,1601708399999,13302093.95025,15851,18985.125,6556517.01077,0
1601708400000,345.55,346.9,344.95,345.81,29426.685,1601711999999,10175814.61967,14531,17972.571,6215888.4663,0
1601712000000,345.8,347.45,344.09,345.42,54848.835,1601715599999,18984572.51899,18029,27316.164,9459985.46622,0
1601715600000,345.41,347.1,344.8,345.9,34293.441,1601719199999,11860475.41886,17532,19398.227,6710357.04212,0
1601719200000,345.9,347.99,345.63,347.88,31654.448,1601722799999,10986519.66898,16582,18868.185,6549089.21119,0
1601722800000,347.89,349.91,347.08,347.29,47506.529,1601726399999,16542319.89665,19944,28509.487,9929537.86162,0
1601726400000,347.28,347.47,345.28,346.13,40610.931,1601729999999,14060129.06481,18826,17106.11,5921643.66326,0
1601730000000,346.14,346.76,345.63,345.84,25033.155,1601733599999,8665082.05544,13678,11954.001,4138855.98815,0
1601733600000,345.83,347.15,345.68,346.21,22041.677,1601737199999,7637173.68223,13671,12886.8,4465589.09668,0
1601737200000,346.22,347.66,346.08,347.17,25594.401,1601740799999,8874280.47297,13284,14100.498,4888952.55112,0
1601740800000,347.18,348.85,346.41,347.6,46646.772,1601744399999,16205187.60384,17557,29030.904,10086322.86746,0
1601744400000,347.59,348.34,346.83,347.82,22752.959,1601747999999,7906843.23042,12720,11964.654,4158708.59336,0
1601748000000,347.83,350.86,347.73,350.07,64110.868,1601751599999,22430915.1165,20005,39606.558,13857713.58736,0
1601751600000,350.08,350.8,349.7,349.84,28509.236,1601755199999,9985509.42299,13286,15318.494,5365933.51365,0
1601755200000,349.84,350.44,348.26,348.89,30393.928,1601758799999,10614336.92406,14269,13274.569,4636242.32908,0
1601758800000,348.89,349.24,348.24,348.54,12673.439,1601762399999,4417753.22795,14355,6930.834,2416077.87407,0
1601762400000,348.53,348.71,345.88,347.29,36939.589,1601765999999,12823001.91174,15696,16219.791,5630624.99562,0
1601766000000,347.3,347.64,345.35,345.72,31681.066,1601769599999,10975679.6575,14106,13614.658,4717565.66984,0
1601769600000,345.69,347.05,344.6,346.62,33851.608,1601773199999,11714015.13534,13392,16754.677,5799882.4587,0
1601773200000,346.61,346.75,343.68,345.01,58206.98,1601776799999,20082650.99075,17872,29477.599,10170757.57877,0
1601776800000,345.0,345.86,343.81,345.86,26187.006,1601780399999,9030623.99927,14430,13230.719,4563706.98299,0
1601780400000,345.86,346.5,345.4,345.64,22999.273,1601783999999,7956327.34151,13429,11721.866,4056190.9132,0
1601784000000,345.63,346.95,345.59,346.71,18655.261,1601787599999,6463925.32096,11883,10550.244,3655549.29821,0
1601787600000,346.72,347.11,346.22,346.47,15704.339,1601791199999,5445090.93525,12730,8296.518,2876867.37846,0
1601791200000,346.46,349.46,346.44,348.89,71145.714,1601794799999,24790218.99168,22439,42476.633,14800188.09409,0
1601794800000,348.88,349.66,347.87,348.18,35679.949,1601798399999,12435120.33256,16112,20362.355,7098054.75725,0
1601798400000,348.17,349.19,347.12,347.6,38934.022,1601801999999,13553806.64963,14116,20248.884,7052303.94923,0
1601802000000,347.59,347.91,346.5,347.02,25718.615,1601805599999,8928469.08427,13950,12854.488,4462210.99973,0
1601805600000,347.01,347.34,344.92,346.26,55923.671,1601809199999,19348394.43125,18322,18715.052,6473513.56548,0
1601809200000,346.25,347.58,345.91,347.47,29445.966,1601812799999,10208014.13291,14545,18011.781,6244853.30799,0
1601812800000,347.47,347.87,344.34,347.84,52281.938,1601816399999,18097208.76647,16901,25641.827,8881132.29643,0
1601816400000,347.83,349.72,347.22,347.63,62872.972,1601819999999,21913838.45826,20363,35859.359,12501350.43624,0
1601820000000,347.63,348.4,346.75,347.41,29734.422,1601823599999,10334545.59961,16913,13730.314,4772988.84438,0
1601823600000,347.41,348.03,346.01,346.52,24540.669,1601827199999,8516126.72219,14636,11702.994,4062456.50934,0
1601827200000,346.53,347.99,346.26,347.92,21564.763,1601830799999,7490220.08614,15469,12106.683,4205295.77263,0
1601830800000,347.92,348.66,347.36,348.19,18876.861,1601834399999,6570240.41796,14389,11000.647,3829210.78165,0
1601834400000,348.19,352.32,348.19,350.76,136957.561,1601837999999,48028453.40781,31116,81095.448,28436036.00592,0
1601838000000,350.77,354.25,350.65,352.7,82279.801,1601841599999,28978022.0196,24548,52063.437,18341266.07771,0
1601841600000,352.7,354.3,350.84,351.58,63851.665,1601845199999,22510835.63424,19739,26156.752,9225893.99238,0
1601845200000,351.59,352.49,351.15,351.46,17288.91,1601848799999,6082564.29292,13521,8603.628,3027387.77917,0
1601848800000,351.46,352.71,351.0,351.9,27466.388,1601852399999,9662018.81778,13454,17525.349,6165459.4306,0
1601852400000,351.9,352.42,351.66,352.23,23843.569,1601855999999,8393682.82318,12231,12139.907,4273954.25768,0
1601856000000,352.15,356.51,351.85,354.0,105570.302,1601859599999,37407864.4987,30393,65510.77,23219323.2543,0
1601859600000,353.99,354.68,353.1,353.33,32392.902,1601863199999,11459272.13226,12737,16646.904,5889843.12367,0
1601863200000,353.32,353.9,353.0,353.75,19443.607,1601866799999,6874254.5263,12574,9620.45,3401787.06689,0
1601866800000,353.75,353.91,351.0,351.89,47363.954,1601870399999,16684884.87444,17187,20312.802,7156438.1698,0
1601870400000,351.89,352.19,350.76,351.22,45017.242,1601873999999,15822033.12652,15145,17491.242,6149848.04092,0
1601874000000,351.22,352.32,350.98,351.89,20159.002,1601877599999,7090501.23658,13778,10995.884,3867579.66699,0
1601877600000,351.89,351.89,348.2,350.49,76249.908,1601881199999,26671764.33699,22340,33418.842,11690792.18459,0
1601881200000,350.48,351.26,349.56,350.74,39692.299,1601884799999,13915179.59313,15558,20869.258,7316561.87382,0
1601884800000,350.73,351.3,349.79,350.05,31034.284,1601888399999,10881600.97262,14815,16268.406,5705076.25943,0
1601888400000,350.05,352.19,349.5,351.23,35371.629,1601891999999,12418739.85669,18689,20398.639,7163065.7631,0
1601892000000,351.2,351.85,350.32,351.23,23287.506,1601895599999,8174571.21102,12701,12354.86,4337910.37844,0
1601895600000,351.22,352.41,350.29,350.35,32189.175,1601899199999,11306591.14747,14604,16849.826,5921009.16003,0
1601899200000,350.34,352.62,349.71,352.37,47337.981,1601902799999,16627586.93991,19097,27278.36,9584582.26039,0
1601902800000,352.35,354.2,351.56,352.47,76405.55,1601906399999,26947732.46215,22157,38996.209,13762254.29602,0
1601906400000,352.52,354.6,351.51,352.57,78447.004,1601909999999,27671992.71977,24870,40069.601,14142527.32433,0
1601910000000,352.56,353.33,352.05,352.63,25625.123,1601913599999,9035561.5998,13407,12632.257,4454687.73024,0
1601913600000,352.62,353.79,351.7,353.78,37290.47,1601917199999,13155988.89034,17303,20968.958,7399805.11442,0
1601917200000,353.79,353.82,350.21,350.71,37482.907,1601920799999,13186934.41405,16578,14848.361,5224562.22253,0
1601920800000,350.71,351.5,349.12,351.25,53437.753,1601924399999,18724472.23207,17686,27290.356,9564920.07128,0
1601924400000,351.25,352.0,351.01,351.33,24384.882,1601927999999,8569869.16745,13552,11375.156,3998595.57666,0
1601928000000,351.33,352.23,350.8,351.55,22799.102,1601931599999,8014647.66713,13654,10474.272,3683086.41036,0
1601931600000,351.54,352.95,351.54,352.32,16166.809,1601935199999,5697492.32634,14257,7897.618,2783417.87146,0
1601935200000,352.32,353.5,351.8,352.32,19284.066,1601938799999,6801475.95656,15097,10374.541,3659715.92228,0
1601938800000,352.32,353.88,351.81,353.45,32626.367,1601942399999,11511639.1251,15234,18622.985,6571223.07884,0
1601942400000,353.45,354.95,351.77,352.23,60189.544,1601945999999,21286764.87733,20397,36198.158,12809669.70554,0
1601946000000,352.23,352.92,351.64,352.54,20342.94,1601949599999,7166551.51525,15269,10458.847,3684890.60058,0
1601949600000,352.53,354.42,352.53,353.02,27564.286,1601953199999,9742582.5211,18078,16261.548,5747451.519,0
1601953200000,353.05,354.01,352.58,353.35,19844.597,1601956799999,7010706.07862,14455,10469.539,3698709.0191,0
1601956800000,353.35,354.53,353.34,353.91,31953.163,1601960399999,11313042.31755,16470,18789.492,6652155.44276,0
1601960400000,353.9,353.91,352.78,353.35,31326.828,1601963999999,11066013.85121,17608,14153.773,4999905.32151,0
1601964000000,353.34,353.72,352.3,352.97,28977.051,1601967599999,10225308.22039,16068,12989.387,4584390.39242,0
1601967600000,352.97,353.39,350.45,350.51,51180.465,1601971199999,18001744.24229,18759,19037.14,6699322.37129,0
