;open;high;low;close;1h_chg%;24h_chg%;next_1h_chg;next_1h_high%;next_3h_high%;next_24h_chg;volume;qav;num_trades;taker_base_vol;taker_quote_vol;taker%;open_interest;oi_24h_chg%;oi_7d_chg%;%_long;%L_24h_chg%;%L_7d_chg%;fundings;fund_24h_chg;fund_7d_chg;liquidations_long;liquidations_short
29/10/2023 15:00;34479,99;34559,22;34403,04;34449,99;;;-0,15%;0,02%;0,87%;0,47%;1406,32618;48518233,89;39896;718,86825;24803613,79;51%;90224,838;;;47,09;;;0,01;;;25157,625;25157,625
29/10/2023 16:00;34449,99;34455,82;34372;34397,24;-0,15%;;0,48%;1,01%;1,03%;0,75%;864,92711;29758559,06;25121;413,45044;14223568,29;48%;90178,149;;;46,58;;;0,01;;;46722,8048;46722,8048
29/10/2023 17:00;34397,25;34744,38;34375,52;34562,41;0,48%;;0,35%;0,54%;0,54%;-0,30%;2277,21772;78810110,29;65531;1201,86076;41587526,04;53%;90176,764;;;46,42;;;0,01;;;50929,8588;50929,8588
29/10/2023 18:00;34562,41;34750,11;34557,27;34682;0,35%;;-0,35%;0,05%;0,05%;-1,08%;1583,1173;54897241,42;42835;734,41785;25466928,38;46%;90810,531;;;46,27;;;0,01;;;867,4375;867,4375
29/10/2023 19:00;34682;34698;34511,26;34561,97;-0,35%;;0,03%;0,22%;0,46%;-0,72%;859,99603;29746172,51;29563;365,48009;12640836,02;42%;89826,325;;;46,2;;;0,01;;;52617,823;52617,823
29/10/2023 20:00;34561,97;34637,06;34530,06;34573,45;0,03%;;-0,39%;0,23%;0,42%;-0,41%;653,2863;22592690,75;22253;291,37812;10076008,9;45%;89411,51;;;46,5;;;0,01;;;864,705;864,705
29/10/2023 21:00;34573,46;34651,26;34400,61;34437,44;-0,39%;;0,77%;0,82%;0,82%;-0,07%;763,99665;26401835,81;27850;358,56882;12388330,29;47%;88677,621;;;46,62;;;0,01;;;25144,704;25144,704
29/10/2023 22:00;34437,44;34720;34437,21;34702,45;0,77%;;-0,51%;0,00%;0,00%;-0,50%;1027,5648;35564704,84;37017;551,87897;19100362,41;54%;88532,074;;;46,22;;;0,01;;;937,1214;937,1214
29/10/2023 23:00;34702,45;34702,45;34453,59;34525,89;-0,51%;;-0,19%;0,13%;0,13%;-0,17%;1023,9213;35404667,39;32045;437,30608;15117210,38;43%;88065,238;;;46,09;;;0,01;;;109593,7764;109593,7764
30/10/2023 00:00;34525,88;34570,51;34451,02;34460,02;-0,19%;;-0,11%;0,18%;0,18%;0,04%;744,53003;25696620,59;30477;332,23022;11467382,21;45%;88473,015;;;45,92;;;0,01;;;43462,887;43462,887
