Date;Value;Value_Classification;BTC_Closing;BTC_Volume
01/02/2018;30.0;Fear;9170.5400390625;9959400448
02/02/2018;15.0;Extreme Fear;8830.75;12726899712
03/02/2018;40.0;Fear;9174.91015625;7263790080
04/02/2018;24.0;Extreme Fear;8277.009765625;7073549824
05/02/2018;11.0;Extreme Fear;6955.27001953125;9285289984
06/02/2018;8.0;Extreme Fear;7754.0;13999800320
07/02/2018;36.0;Fear;7621.2998046875;9169280000
08/02/2018;30.0;Fear;8265.58984375;9346750464
09/02/2018;44.0;Fear;8736.98046875;6784820224
10/02/2018;54.0;Neutral;8621.900390625;7780960256
11/02/2018;31.0;Fear;8129.97021484375;6122189824
12/02/2018;42.0;Fear;8926.5703125;6256439808
13/02/2018;35.0;Fear;8598.3095703125;5696719872
14/02/2018;55.0;Greed;9494.6298828125;7909819904
15/02/2018;71.0;Greed;10166.400390625;9062540288
16/02/2018;67.0;Greed;10233.900390625;7296159744
17/02/2018;74.0;Greed;11112.7001953125;8660880384
18/02/2018;63.0;Greed;10551.7998046875;8744009728
19/02/2018;67.0;Greed;11225.2998046875;7652089856
20/02/2018;74.0;Greed;11403.7001953125;9926540288
21/02/2018;54.0;Neutral;10690.400390625;9405339648
22/02/2018;44.0;Fear;10005.0;8040079872
23/02/2018;39.0;Fear;10301.099609375;7739500032
24/02/2018;31.0;Fear;9813.0703125;6917929984
25/02/2018;33.0;Fear;9664.73046875;5706939904
26/02/2018;37.0;Fear;10366.7001953125;7287690240
27/02/2018;44.0;Fear;10725.599609375;6966179840
28/02/2018;41.0;Fear;10397.900390625;6936189952
01/03/2018;38.0;Fear;10951.0;7317279744
02/03/2018;47.0;Neutral;11086.400390625;7620590080
03/03/2018;56.0;Greed;11489.7001953125;6690570240
04/03/2018;44.0;Fear;11512.599609375;6084149760
05/03/2018;55.0;Greed;11573.2998046875;6468539904
06/03/2018;59.0;Greed;10779.900390625;6832169984
07/03/2018;37.0;Fear;9965.5703125;8797910016
08/03/2018;39.0;Fear;9395.009765625;7186089984
09/03/2018;37.0;Fear;9337.5498046875;8704190464
10/03/2018;39.0;Fear;8866.0;5386319872
11/03/2018;40.0;Fear;9578.6298828125;6296370176
