,entry strat, entry_strategy, sl_strategy, tp_strategy, num trades, perf, avg_perf, win_rate
172519,{'closed_green': ['x == True']  '7d_volume_per_trade_rank': ['x == 2']  'long_%': ['x > 30']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,404.5,25.28,37.5
109717,{'closed_green': ['x == True']  'duration_above_SMA20_d': ['x > 3']  '30d_volume_per_trade_rank': ['x == 2']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,17,403.5,23.74,35.3
179320,{'7d_volume_per_trade_rank': ['x == 2']  '30d_volume_rank': ['x == 2']  'long_%': ['x > 40']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,17,403.5,23.74,35.3
143287,{'dollar_volume': ['x > 100000000']  '7d_volume_per_trade_rank': ['x == 2']  'long_%': ['x < 60']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,17,403.5,23.74,35.3
146823,{'week_end': ['x == False']  'duration_above_SMA20_d': ['x > 1']  '7d_volume_per_trade_rank': ['x == 2']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,17,403.5,23.74,35.3
131401,{'7d_volume_per_trade_rank': ['x == 2']  '30d_volume_rank': ['x == 2']  'prev_24h_chg': ['x > 1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,17,403.5,23.74,35.3
142451,{'closed_green': ['x == True']  '30d_dollar_volume_rank': ['x == 2']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,17,403.5,23.74,35.3
179430,{'longs_24h_chg%': ['x < -1']  '30d_volume_rank': ['x == 2']  'long_%': ['x > 40']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,15,402.73,26.85,33.3
188623,{'closed_green': ['x == True']  'duration_above_SMA20_d': ['x > 1']  '7d_dollar_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,18,402.5,22.36,33.3
61739,{'30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -2']  'prev_24h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,401.73,25.11,31.2
179175,{'7d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -2']  '30d_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,401.73,25.11,31.2
189290,{'week_end': ['x == False']  '30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,401.73,25.11,31.2
187614,{'30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -2']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,401.73,25.11,31.2
35700,{'7d_dollar_volume_rank': ['x == 2']  'longs_24h_chg%': ['x < -2']  'long_%': ['x < 80']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,16,401.73,25.11,31.2
192904,{'closed_green': ['x == True']  'duration_above_SMA20_d': ['x > 1']  'longs_24h_chg%': ['x < -1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,401.73,25.11,31.2
101198,{'30d_volume_per_trade_rank': ['x == 2']  '30d_volume_rank': ['x == 2']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,19,401.5,21.13,31.6
178154,{'30d_dollar_volume_rank': ['x == 2']  '7d_volume_per_trade_rank': ['x == 2']  '30d_volume_per_trade_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,19,401.5,21.13,31.6
99997,{'duration_above_SMA20_d': ['x > 2']  'prev_24h_chg': ['x > 1']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,19,401.5,21.13,31.6
171550,{'closed_green': ['x == True']  'duration_above_SMA20_d': ['x > 2']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,19,401.5,21.13,31.6
53848,{'dollar_volume': ['x > 100000000']  'longs_24h_chg%': ['x < -2']  'prev_24h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,17,400.73,23.57,29.4
72560,{'duration_above_SMA20_d': ['x > 2']  '7d_dollar_volume_rank': ['x == 2']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,20,400.5,20.02,30.0
34229,{'30d_volume_per_trade_rank': ['x == 2']  'prev_24h_chg': ['x > 0']  'long_%': ['x < 80']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,20,400.5,20.02,30.0
118077,{'duration_above_SMA20_d': ['x > 3']  '7d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,18,399.73,22.21,27.8
82060,{'week_end': ['x == False']  'duration_above_SMA20_d': ['x > 1']  'longs_24h_chg%': ['x < -1']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,18,399.73,22.21,27.8
168072,{'duration_above_SMA20_d': ['x > 1']  'longs_24h_chg%': ['x < -2']  '30d_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,18,399.73,22.21,27.8
43079,{'week_end': ['x == False']  'duration_above_SMA20_d': ['x > 3']  'longs_24h_chg%': ['x < -1']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,18,399.73,22.21,27.8
35055,{'longs_24h_chg%': ['x < -2']  '30d_volume_rank': ['x == 2']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,18,399.73,22.21,27.8
186805,{'week_end': ['x == False']  '30d_volume_rank': ['x == 2']  'long_%': ['x < 60']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,21,399.5,19.02,28.6
173371,{'duration_above_SMA20_d': ['x > 5']  'dollar_volume': ['x > 100000000']  '7d_dollar_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,21,399.5,19.02,28.6
183982,{'week_end': ['x == False']  '30d_dollar_volume_rank': ['x == 2']  '30d_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,21,399.5,19.02,28.6
159262,{'week_end': ['x == False']  'duration_above_SMA20_d': ['x > 5']  '30d_volume_per_trade_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,21,399.5,19.02,28.6
102071,{'duration_above_SMA20_d': ['x > 5']  '30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,19,398.73,20.99,26.3
170679,{'30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  '30d_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,19,398.73,20.99,26.3
191160,{'duration_above_SMA20_d': ['x > 3']  'longs_24h_chg%': ['x < -2']  'long_%': ['x < 80']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,19,398.73,20.99,26.3
