,time,open,high,low,close,volume,turnover,24h_high,breakout_24h,closed_above_breakout_24h,7d_high,breakout_7d,closed_above_breakout_7d,perf_break24h_h1,perf_break24h_h4,perf_break7d_h1,perf_break7d_h4,perf_break7d_h12,perf_break7d_h24,perf_break24h_h1_from_close,perf_break24h_h4_from_close,perf_break7d_h1_from_close,perf_break7d_h4_from_close,perf_break7d_h12_from_close,perf_break7d_h24_from_close
2024-01-23 21:00:37,1706043600000,0.02788,0.028,0.02763,0.02787,1731570,48131.80721,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 21:59:36,1706047200000,0.02787,0.02831,0.02787,0.0282,1022835,28747.0292,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 23:00:46,1706050800000,0.0282,0.02857,0.0282,0.0285,1840652,52358.2729,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 23:59:45,1706054400000,0.0285,0.02882,0.02834,0.02869,770302,22014.96854,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 01:00:55,1706058000000,0.02869,0.02869,0.0283,0.02831,551830,15723.89369,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 01:59:54,1706061600000,0.02831,0.02856,0.02828,0.02841,676401,19238.84857,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 03:01:04,1706065200000,0.02841,0.0285,0.02828,0.02837,456093,12934.44955,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 04:00:03,1706068800000,0.02837,0.02849,0.02826,0.02828,226139,6422.77467,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 04:59:02,1706072400000,0.02828,0.02859,0.02828,0.02848,920058,26202.08343,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 06:00:12,1706076000000,0.02848,0.02881,0.02827,0.02869,1400515,39987.28385,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 06:59:11,1706079600000,0.02869,0.02883,0.02852,0.02868,2414323,69270.68552,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 08:00:21,1706083200000,0.02868,0.02895,0.02866,0.02885,1351578,38985.53152,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 08:59:20,1706086800000,0.02885,0.02894,0.02875,0.0289,314825,9080.44516,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 10:00:30,1706090400000,0.0289,0.02927,0.02883,0.02907,2390615,69303.39105,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 10:59:29,1706094000000,0.02907,0.02911,0.02875,0.0288,581372,16830.06871,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 12:00:39,1706097600000,0.0288,0.02893,0.02866,0.0287,2110923,60740.65712,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 12:59:38,1706101200000,0.0287,0.02876,0.02819,0.02841,1328588,37744.81474,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 14:00:48,1706104800000,0.02841,0.02858,0.02817,0.02835,3009852,85292.47167,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 14:59:47,1706108400000,0.02835,0.02879,0.02829,0.02869,821019,23516.19339,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 16:00:57,1706112000000,0.02869,0.02887,0.02845,0.02887,1279236,36611.69325,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 16:59:56,1706115600000,0.02887,0.02888,0.0285,0.02858,463502,13285.35551,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 17:58:55,1706119200000,0.02858,0.0286,0.02813,0.02837,1311891,37145.37571,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 19:00:05,1706122800000,0.02837,0.02845,0.02824,0.02841,319362,9050.15124,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 19:59:04,1706126400000,0.02841,0.02855,0.02816,0.02819,637096,18085.58935,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 21:00:14,1706130000000,0.02819,0.02848,0.02817,0.0284,743246,21046.61088,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-24 21:59:13,1706133600000,0.0284,0.02864,0.02837,0.02864,1019466,29079.82431,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-24 23:00:23,1706137200000,0.02864,0.02889,0.02862,0.0288,1548817,44567.7284,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-24 23:59:22,1706140800000,0.0288,0.02886,0.02862,0.02873,512220,14710.53498,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 01:00:32,1706144400000,0.02873,0.02877,0.02836,0.02846,1135549,32341.79744,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 01:59:31,1706148000000,0.02846,0.02854,0.02824,0.02831,1238470,35224.52428,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 03:00:41,1706151600000,0.02831,0.02855,0.0283,0.0284,809350,22984.79014,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 03:59:40,1706155200000,0.0284,0.02849,0.02822,0.02829,498198,14109.89129,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 05:00:50,1706158800000,0.02829,0.02829,0.02799,0.02821,2111355,59359.22081,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 05:59:48,1706162400000,0.02821,0.02843,0.02813,0.02839,697576,19707.76303,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 07:00:59,1706166000000,0.02839,0.02861,0.0283,0.0286,1433631,40810.47634,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 07:59:57,1706169600000,0.0286,0.02863,0.02843,0.0285,153393,4374.12963,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 08:58:56,1706173200000,0.0285,0.02871,0.02835,0.02837,437122,12494.45083,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 10:00:06,1706176800000,0.02837,0.02863,0.02821,0.02858,382644,10894.1669,0.02927,False,False,,False,False,,,,,,,,,,,,
2024-01-25 10:59:05,1706180400000,0.02858,0.02871,0.02842,0.02847,857134,24461.30557,0.02911,False,False,,False,False,,,,,,,,,,,,
2024-01-25 12:00:15,1706184000000,0.02847,0.02855,0.02799,0.02814,827785,23384.85345,0.02893,False,False,,False,False,,,,,,,,,,,,
2024-01-25 12:59:14,1706187600000,0.02814,0.02822,0.02792,0.02807,3675524,103045.57918,0.02889,False,False,,False,False,,,,,,,,,,,,
2024-01-25 14:00:24,1706191200000,0.02807,0.02824,0.02795,0.02821,1397337,39346.85938,0.02889,False,False,,False,False,,,,,,,,,,,,
2024-01-25 14:59:23,1706194800000,0.02821,0.02821,0.02783,0.02795,2204028,61663.77577,0.02889,False,False,,False,False,,,,,,,,,,,,
2024-01-25 16:00:33,1706198400000,0.02795,0.02807,0.02775,0.02777,1018183,28388.57979,0.02889,False,False,,False,False,,,,,,,,,,,,
2024-01-25 16:59:32,1706202000000,0.02777,0.0281,0.02765,0.02807,681720,18983.13176,0.02889,False,False,,False,False,,,,,,,,,,,,
2024-01-25 18:00:42,1706205600000,0.02807,0.02852,0.02805,0.02823,1874330,53086.92033,0.02889,False,False,,False,False,,,,,,,,,,,,
