,time,open,high,low,close,volume,turnover,24h_high,breakout_24h,closed_above_breakout_24h,7d_high,breakout_7d,closed_above_breakout_7d,perf_break24h_h1,perf_break24h_h4,perf_break7d_h1,perf_break7d_h4,perf_break7d_h12,perf_break7d_h24,perf_break24h_h1_from_close,perf_break24h_h4_from_close,perf_break7d_h1_from_close,perf_break7d_h4_from_close,perf_break7d_h12_from_close,perf_break7d_h24_from_close
2024-01-23 21:00:37,1706043600000,0.428,0.43,0.4245,0.4292,494209,211370.1319,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 21:59:36,1706047200000,0.4292,0.4359,0.4287,0.4348,386062,167068.4689,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 23:00:46,1706050800000,0.4348,0.4411,0.4348,0.4407,838303,367604.036,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 23:59:45,1706054400000,0.4407,0.4429,0.4363,0.4414,930348,408761.5025,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 01:00:55,1706058000000,0.4414,0.4414,0.4345,0.4352,942153,411859.6103,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 01:59:54,1706061600000,0.4352,0.4367,0.433,0.4342,370359,161228.3862,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 03:01:04,1706065200000,0.4342,0.435,0.4321,0.4335,586057,253896.6428,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 04:00:03,1706068800000,0.4335,0.4365,0.4324,0.4324,702770,305181.796,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 04:59:02,1706072400000,0.4324,0.4372,0.4324,0.4359,163132,71013.1261,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 06:00:12,1706076000000,0.4359,0.4385,0.4337,0.4383,239459,104523.273,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 06:59:11,1706079600000,0.4383,0.4427,0.437,0.4396,606740,266896.5622,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 08:00:21,1706083200000,0.4396,0.443,0.4392,0.4406,1150370,507127.129,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 08:59:20,1706086800000,0.4406,0.4438,0.4404,0.4426,655813,290141.466,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 10:00:30,1706090400000,0.4426,0.4489,0.4419,0.4468,1411280,628440.0508,,False,False,,False,False,,,,,,,,,,,,
