,time,open,high,low,close,volume,turnover,24h_high,breakout_24h,closed_above_breakout_24h,7d_high,breakout_7d,closed_above_breakout_7d,perf_break24h_h1,perf_break24h_h4,perf_break7d_h1,perf_break7d_h4,perf_break7d_h12,perf_break7d_h24,perf_break24h_h1_from_close,perf_break24h_h4_from_close,perf_break7d_h1_from_close,perf_break7d_h4_from_close,perf_break7d_h12_from_close,perf_break7d_h24_from_close
2024-01-23 21:00:37,1706043600000,0.2274,0.2299,0.2218,0.2256,4371321,987779.7766,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 21:59:36,1706047200000,0.2256,0.2488,0.2253,0.2461,9093020,2161402.9431,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 23:00:46,1706050800000,0.2461,0.285,0.2454,0.2806,28563940,7677931.1785,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 23:59:45,1706054400000,0.2806,0.2994,0.2737,0.2906,28200018,8097065.3995,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 01:00:55,1706058000000,0.2906,0.2957,0.2754,0.2777,13002526,3693026.7035,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 01:59:54,1706061600000,0.2777,0.2938,0.2754,0.2938,8293949,2360212.4114,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 03:01:04,1706065200000,0.2938,0.3396,0.2911,0.3335,35846255,11524920.3717,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 04:00:03,1706068800000,0.3335,0.3438,0.3221,0.3257,23121846,7717549.1544,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 04:59:02,1706072400000,0.3257,0.3367,0.3227,0.3243,11707580,3853446.8593,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 06:00:12,1706076000000,0.3243,0.329,0.3102,0.3238,16877297,5382277.1172,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 06:59:11,1706079600000,0.3238,0.3349,0.3167,0.3197,13184781,4303643.4244,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 08:00:21,1706083200000,0.3197,0.3295,0.3126,0.3228,10542077,3380204.8898,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 08:59:20,1706086800000,0.3228,0.3343,0.3194,0.3294,12155874,3975485.3863,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 10:00:30,1706090400000,0.3294,0.3424,0.3262,0.3346,16527504,5526601.9066,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 10:59:29,1706094000000,0.3346,0.3358,0.3076,0.3139,25741093,8202215.4562,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 12:00:39,1706097600000,0.3139,0.3284,0.3123,0.3161,17272497,5529796.3921,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 12:59:38,1706101200000,0.3161,0.3264,0.3139,0.3204,13757089,4402394.3884,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 14:00:48,1706104800000,0.3204,0.3337,0.319,0.3216,18149046,5912645.0148,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 14:59:47,1706108400000,0.3216,0.3293,0.3172,0.3274,13386374,4324597.6008,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 16:00:57,1706112000000,0.3274,0.3548,0.3236,0.3413,31404444,10660922.1335,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 16:59:56,1706115600000,0.3413,0.3592,0.3377,0.3521,19869402,6899740.0679,,False,False,,False,False,,,,,,,,,,,,
