date_debut,drawdown,high,date_fin,low
2020-07-08,-0.07694779116465866,249.0,2020-07-16,229.84
2020-07-22,-0.10812407680945346,270.8,2020-07-22,241.52
2020-07-31,-0.1367235514392705,349.83,2020-08-02,302.0
2020-08-02,-0.27835790580420083,418.49,2020-08-02,302.0
2020-08-13,-0.28893001735106993,432.25,2020-09-05,307.36
2020-08-14,-0.3103262576852309,445.66,2020-09-05,307.36
2020-08-17,-0.315456570155902,449.0,2020-09-05,307.36
2020-09-02,-0.36290523173866174,482.44,2020-09-05,307.36
2020-09-03,-0.31835621299150607,450.91,2020-09-05,307.36
2020-09-04,-0.23280832688515585,400.63,2020-09-05,307.36
2020-09-05,-0.22165666388108074,394.89,2020-09-05,307.36
2020-09-17,-0.2073489481564189,394.07,2020-09-23,312.36
2020-09-18,-0.2040363886553016,392.43,2020-09-23,312.36
2020-09-19,-0.1964189241336728,388.71,2020-09-23,312.36
2020-09-20,-0.18937015026081538,385.33,2020-09-23,312.36
2020-09-24,-0.10399614829080395,353.09,2020-09-24,316.37
2020-09-28,-0.09833084543357296,368.45,2020-10-07,332.22
2020-10-12,-0.08825835166780471,395.43,2020-10-16,360.53
2020-10-22,-0.12301493244844741,421.9,2020-11-03,370.0
2020-10-23,-0.11902664349151171,419.99,2020-11-03,370.0
2020-10-25,-0.11459953576299975,417.89,2020-11-03,370.0
2020-10-26,-0.100150785544044,411.18,2020-11-03,370.0
2020-10-27,-0.0988357932680598,410.58,2020-11-03,370.0
2020-11-07,-0.09801166602801559,469.74,2020-11-07,423.7
2020-11-21,-0.13560420567478038,555.44,2020-11-26,480.12
2020-11-22,-0.17636765992486225,582.93,2020-11-26,480.12
2020-11-23,-0.21533634045891348,611.88,2020-11-26,480.12
2020-11-24,-0.23137757144000637,624.65,2020-11-26,480.12
2020-11-25,-0.2091452667644007,607.09,2020-11-26,480.12
2020-11-26,-0.1686665627759596,577.53,2020-11-26,480.12
2020-12-17,-0.19373341197286953,678.2,2020-12-23,546.81
2021-01-03,-0.2477432983540503,1022.51,2021-01-03,769.19
2021-01-06,-0.24860426929392443,1218.0,2021-01-11,915.2
2021-01-07,-0.2944532243765178,1297.15,2021-01-11,915.2
2021-01-09,-0.30350076103500756,1314.0,2021-01-11,915.2
2021-01-10,-0.3244061240458861,1354.66,2021-01-11,915.2
2021-01-19,-0.27902080952875585,1444.05,2021-01-22,1041.13
2021-02-09,-0.2937333034685081,1830.47,2021-02-28,1292.8
2021-02-10,-0.3004329004329005,1848.0,2021-02-28,1292.8
2021-02-12,-0.30971882575312626,1872.86,2021-02-28,1292.8
2021-02-13,-0.31193051179426046,1878.88,2021-02-28,1292.8
2021-02-18,-0.3387212276214834,1955.0,2021-02-28,1292.8
2021-02-19,-0.3470707070707071,1980.0,2021-02-28,1292.8
2021-02-20,-0.36875,2048.0,2021-02-28,1292.8
2021-02-21,-0.347413479788394,1981.04,2021-02-28,1292.8
2021-02-22,-0.3330925973690998,1938.5,2021-02-28,1292.8
2021-02-23,-0.2753688175418143,1784.08,2021-02-28,1292.8
2021-02-24,-0.2457585587267509,1714.04,2021-02-28,1292.8
2021-02-25,-0.22702078936196934,1672.49,2021-02-28,1292.8
2021-03-13,-0.20963694676074407,1948.75,2021-03-24,1540.22
2021-03-14,-0.20438250304770955,1935.88,2021-03-24,1540.22
2021-03-15,-0.18777619574961768,1896.3,2021-03-24,1540.22
2021-03-20,-0.17804081458395593,1873.84,2021-03-24,1540.22
2021-03-21,-0.15307845002501907,1818.61,2021-03-24,1540.22
2021-04-10,-0.14102552510465927,2211.94,2021-04-18,1900.0
2021-04-13,-0.18244406196213425,2324.0,2021-04-18,1900.0
2021-04-14,-0.22448979591836737,2450.0,2021-04-18,1900.0
2021-04-15,-0.25449266263831116,2548.6,2021-04-18,1900.0
2021-04-16,-0.2557775166470818,2553.0,2021-04-18,1900.0
2021-04-17,-0.23977497339212417,2499.26,2021-04-18,1900.0
2021-05-08,-0.2118199267055586,3964.83,2021-05-17,3125.0
2021-05-09,-0.21591750197588788,3985.55,2021-05-17,3125.0
2021-05-12,-0.28639608328499866,4379.18,2021-05-17,3125.0
